Name;Energy;Fats;Carbs;Proteins;Fiber;Sugars;Water
Groviera;413;32.34;0.36;29.81;0;0.36;33.19
Guanciale di maiale;655;69.61;0;6.38;0;0;22.19
Halibut;91;1.33;0;18.56;0;0;80.34
Halibut, cotto;111;1.61;0;22.54;0;0;76.12
Hamburger con pesce e salsa tartara;273;14.41;25.96;10.72;47.35;1.56;53
Hamburger con pollo;283;16.18;21.26;13.25;47.31;2;33
Hamburger con salse e condimenti;254;12.25;24.81;11.74;49.41;1.78;57
Hamburger di soia;177;6.3;14.27;15.7;4.9;1.07;61.21
Hamburger, Burger King;275;12.17;27.11;14.18;2;4.85;44.68
Hamburger, fast food;295;11.24;33.71;14.74;1.2;5.79;38.49
Hamburger, McDonald's;252;9.29;30.69;12.36;1.3;6.58;45.67
Hot chili in barattolo;21;0.1;5.1;0.9;1.3;3.12;92.5
Hotdog;247;14.84;18.4;10.6;53.96;2.2;24
Indivia;17;0.2;3.35;1.25;3.1;0.25;93.79
Infuso di camomilla;1;0;0.2;0;0;0;99.7
Insalata di patate;143;8.2;11.17;2.68;1.3;76;1.95
Ippoglosso;186;13.84;0;14.37;0;0;70.27
Kamut cotto;146;0.91;30.46;6.45;3.9;61.42;0.75
Kamut cotto;337;2.2;70.38;14.7;9.1;8.19;10.95
Kamut crudo;337;2.2;70.38;14.7;9.1;8.19;10.95
Kit kat;518;25.99;64.59;6.51;1;48.68;1.63
Kiwi;61;0.52;14.66;1.14;3;8.99;83.07
Kumquats, mandarini cinesi;71;0.86;15.9;1.88;6.5;9.36;80.85
Lamponi;52;0.65;11.94;1.2;6.5;4.42;85.75
Lamponi in barattolo, con sciroppo;91;0.12;23.36;0.83;3.3;20.06;75.33
Lamponi rossi, congelati, zuccherati;103;0.16;26.16;0.7;4.4;21.76;72.75
Lamponi selvatici;62;0.28;13.85;1.12;7.5;5.54;84.48
Lardo;902;100;0;0;0;0;0
Latte condensato zuccherato;321;8.7;54.4;7.91;0;54.4;27.16
Latte di bufala;97;6.89;5.18;3.75;0;83.39;0.79
Latte di capra;69;4.14;4.45;3.56;0;4.45;87.03
Latte di cocco;230;23.84;5.54;2.29;2.2;3.34;67.62
Latte di cocco in scatola;197;21.33;2.81;2.02;72.88;0.97;18
Latte di cocco, congelato;202;20.8;5.58;1.61;71.42;0.59;4
Latte di pecora;108;7;5.36;5.98;0;80.7;0.96
Latte di soia;45;1.99;3.45;2.94;0.4;2.53;90.98
Latte di soia, al cioccolato;63;1.53;9.95;2.26;0.4;7.86;85.61
Latte di soia, alla vaniglia;54;1.75;6.28;3.27;0.6;3.99;88.05
Latte di vacca uht parzialmente scremato;42;0.97;4.99;3.37;0;5.2;89.92
Latte in polvere intero;496;26.71;38.42;26.32;0;38.42;2.47
Latte in polvere scremato;362;0.77;51.98;36.16;0;51.98;3.16
Latte intero;61;3.25;4.8;3.15;0;5.05;88.13
Latte non zuccherato;134;7.56;10.04;6.81;0;10.04;74.04
Latte parzialmente scremato;40;0.88;4.79;3.31;0;4.79;90.13
Latte scremato;34;0.08;4.96;3.37;0;5.09;90.84
Latte uht intero;64;3.66;4.65;3.28;0;87.69;0.72
Latte umano;70;4.38;6.89;1.03;0;6.89;87.5
Latterini;148;6.73;0;20.53;0;70.85;1.14
Lattuga;17;0.3;3.29;1.23;2.1;1.19;94.61
Lattuga a cappuccio;15;0.15;2.87;1.36;1.3;0.78;94.98
Lattuga iceberg;14;0.14;2.97;0.9;1.2;1.97;95.64
Lattuga rossa;16;0.22;2.26;1.33;0.9;0.48;95.64
Lemon soda (o lime soda), con caffeina;41;0;10.42;0.09;0;10.19;89.49
Lenticchie;353;1.06;60.08;25.8;30.5;2.03;10.4
Lenticchie, lesse;116;0.38;20.13;9.02;7.9;1.8;69.64
Leone marino, carne grassa;242;14.65;5.55;22.1;56.8;0.9;6
Leone marino, carne mista;120;1.88;0;25.85;71.2;1.1;6
Lepre, carne cruda;114;2.32;0;21.79;0;74.51;1.12
Lievito di birra fresco;105;1.9;18.1;8.4;8.1;0;69
Lievito di birra secco;325;7.61;41.22;40.44;26.9;0;5.08
Lievito per prodotti da forno;53;0;27.7;0;0.2;0;5
Lime;30;0.2;10.54;0.7;2.8;1.69;88.26
Limoni;11;0;2.3;0.6;1.9;89.5;0
Limoni, senza buccia;29;0.3;9.32;1.1;2.8;2.5;88.98
Lingua di maiale;225;17.2;0;16.3;0;0;65.9
Lingua di vitello;131;5.48;1.91;17.18;0;74.53;0.89
Liquore alla crema di caffe;327;15.7;20.9;2.8;0;19.76;46.5
Litchi;66;0.44;16.53;0.83;1.3;15.23;81.76
Litchi, secchi;277;1.2;70.7;3.8;4.6;66.1;22.3
Lombata di agnello arrosto, carne grassa;202;9.76;0;26.59;0;62.76;1.35
Lombata di agnello arrosto, carne magra, alla griglia;297;20.61;0;26.06;0;53.31;1.12
Lombata di agnello, magra, arrosto;290;21.12;0;23.27;0;54.33;1.2
Lombata di agnello, magra, cruda;279;22.75;0;17.18;0;59.55;0.88
Lombata di maiale;168;8.96;0;20.48;0;0;70.29
Lombata di maiale cotta;230;12.87;0;26.64;0;0;59.34
Lombata di maiale magra;129;4.02;0;21.65;0;0;73.98
Lombata di manzo, carne scelta, cotta;299;22.11;0;23.27;0;0;52.61
Lombata di manzo, carne scelta, cruda;258;20.08;0;17.98;0;0;60.21
Lombata di manzo, cotta;297;21.83;0;23.51;0;0;52.62
Lombata di manzo, cruda;247;18.51;0;18.8;0;0;61.26
Lombata di vitello, cotta;252;13.14;0;31.26;0;54.49;1.16
Lombo di agnello, cotto;316;23.08;0;25.17;0;0;51.57
Lombo di agnello, crudo;310;26.63;0;16.32;0;56.55;0.84
Lombo di maiale;194;12.27;0;19.56;0;0;67.64
Lombo di maiale cotto;248;14.65;0;27.09;0;0;57.51
Lombo di maiale magro;143;5.66;0;21.43;0;0;72.23
Lombo di maiale magro cotto;209;9.63;0;28.62;0;0;61.02
Lombo di maiale senza osso;198;12.58;0;19.74;0;0;66.92
Lombo di maiale, alla griglia;231;14.35;0;23.72;0;0;61.45
Lombo di maiale, arrosto;254;16.71;0;24.29;0;0;58.74
Lombo di maiale, brasato;255;15.71;0;26.54;0;0;57.32
Lombo di maiale, magro;143;5.84;0;21.22;0;0;72.84
Lombo di maiale, magro, alla griglia;193;9.56;0;24.99;0;0;65.03
Lombo di maiale, magro, arrosto;217;11.89;0;25.7;0;0;62.24
Lombo di maiale, magro, brasato;222;11.29;0;28.02;0;0;60.32
Lombo di maiale, magro, impanato e fritto;222;12.14;0;26.38;0;0;61.13
Lombo di maiale, senza osso;155;6.94;0;21.55;0;0;70.38
Lombo di maiale, senza osso, alla griglia;196;9.14;0;26.62;0;0;62.92
Lombo di maiale, senza osso, arrosto;192;8.82;0;26.45;0;0;63.76
Lombo di maiale, senza osso, brasato;200;8.31;0;29.2;0;0;62.44
Lombo di maiale, senza osso, magro;127;3.42;0;22.41;0;0;72.93
Lombo di maiale, senza osso, magro, alla griglia;173;6.08;0;27.58;0;0;65.11
Lombo di maiale, senza osso, magro, arrosto;173;6.28;0;27.23;0;0;65.6
Lombo di maiale, senza osso, magro, brasato;170;4.34;0;30.54;0;0;65.14
Longan;60;0.1;15.14;1.31;1.1;82.75;0.7
Longan, secchi;286;0.4;74;4.9;17.6;3.1;45
Lonza di maiale;242;13.51;0;28.21;0;0;58.04
Lonza di vitello, arrosto;217;12.32;0;24.8;0;0;60.73
Lonza di vitello, brasato;226;9.15;0;33.57;0;0;56.96
Luccio;93;1.22;0;19.14;0;79.31;1.2
Luccio dei mari del nord;88;0.69;0;19.26;0;0;78.92
Luccio, cotto;113;0.88;0;24.69;0;72.97;1.54
Lumaca di mare;90;1.4;2;16.1;0;0;79.2
Lupini;371;9.74;40.38;36.17;10.44;3.28;176
Lupini bolliti, con sale;116;2.92;9.29;15.57;2.8;71.08;1.14
Lupini bolliti, senza sale;119;2.92;9.88;15.57;2.8;71.08;0.55
M&m's, con arachidi;515;26.13;60.48;9.57;3.7;50.75;2.48
M&m's, con cioccolato al latte;492;21.13;71.19;4.33;2.8;63.68;1.7
Maccheroncini al formaggio, per l'infanzia;61;2;8.2;2.6;0.3;1.32;86.5
Maccheroncini al ragù, per l'infanzia;59;1.1;9.4;2.5;1.1;2.43;86.7
Maccheroni al formaggio, in barattolo;82;2.46;11.52;3.38;0.5;0.5;81.39
Maccheroni al ragù;61;1.47;9.45;2.36;1.2;2.09;86.34
Maccheroni integrali cotti;124;0.54;26.54;5.33;2.8;0.8;67.15
Maccheroni integrali crudi;348;1.4;75.03;14.63;8.3;7.34;1.6
Maccheroni surgelati;371;1.51;74.67;13.04;3.2;2.67;9.9
Macinato di struzzo bollito;175;7.07;0;26.15;0;0;67.12
Macinato di tacchino cotto;203;10.4;0;27.37;0;0;62.07
Macinato di tacchino crudo;148;7.66;0;19.66;0;0;72.36
Macis;475;32.38;50.5;6.71;20.2;8.17;2.23
Maggiorana, essiccata;271;7.04;60.56;12.66;40.3;4.09;7.64
Maiale magro, coscia;245;18.87;0;17.43;0;62.47;0.88
Maionese;688;77.8;0.3;0;0;0.3;21.7
Maionese di tofu;322;31.79;3.06;5.95;1.1;0.85;56.33
Maionese, basso contenuto di colesterolo;688;77.8;0.3;0;0;0.3;21.7
Maionese, basso contenuto di sodio;231;19.2;16;0.3;0;4.2;62.7
Mais bianco dolce;86;1.18;19.02;3.22;2.7;3.22;75.96
Mais bianco dolce, lesso;97;1.41;21.71;3.34;2.7;7.73;72.84
Mais bianco dolce, lesso e salato;97;1.41;21.71;3.34;2.7;7.73;72.84
Mais dolce in barattolo, senza sale;72;0.42;18.13;1.74;1.2;2.21;78.73
Mais dolce, lesso;96;1.5;20.98;3.41;2.4;4.54;73.41
Mais dolce, lesso e salato;96;1.5;20.98;3.41;2.4;4.54;73.41
Mais tostato;446;15.64;71.86;8.5;6.9;0.61;1.3
Mais, bianco;365;4.74;74.26;9.42;10.37;1.2;7
Mais, giallo;365;4.74;74.26;9.42;7.3;0.64;10.37
Mandarini, senza buccia;53;0.31;13.34;0.81;1.8;10.58;85.17
Mandorle;575;49.42;21.67;21.22;12.2;3.89;4.7
Mandorle secche;595;52.05;21.2;21.06;10.9;4.93;2.53
Mango;60;0.38;14.98;0.82;1.6;13.66;83.46
Manioca;160;0.28;38.06;1.36;1.8;1.7;59.68
Maraschino;165;0.21;41.97;0.22;3.2;38.77;57.27
Margarina;717;80.71;0.7;0.16;0;16.52;1.92
Margarina, grassi animali e vegetali;718;80.7;0.6;0.9;0;0;15.8
Marmallata di arance;246;0;66.3;0.3;0.7;60;33.2
Marmellata di albicocca;242;0.2;64.4;0.7;0.3;43.4;34.5
Marmellate;278;0.07;68.86;0.37;1.1;48.5;30.47
Marshmallow;318;0.2;81.3;1.8;0.1;57.56;16.4
Marshmallow al cioccolato;453;17.48;71.34;2.26;1.7;64.06;7.82
Marshmallow al cioccolato e nocciole;474;21.11;67.69;3.24;2.1;7.12;0.84
McFlurry, McDonald's;177;6.46;26.82;4.02;0.2;24.37;61.74
Medusa, sotto sale;36;1.4;0;5.5;0;0;68
Mela, senza buccia, bollita;53;0.36;13.64;0.26;2.4;11.01;85.47
Mela, senza buccia, cotta al microonde;56;0.42;14.41;0.28;2.8;11.61;84.63
Melanzane;24;0.19;5.7;1.01;3.4;2.35;92.41
Melanzane, lesse;35;0.23;8.73;0.83;2.5;3.2;89.67
Melassa;290;0.1;74.73;0;0;55.49;21.87
Mele cotogne;57;0.1;15.3;0.4;1.9;83.8;0.4
Mele selvatiche;76;0.3;19.95;0.4;78.94;0.42;18
Mele, con la buccia;52;0.17;13.81;0.26;2.4;10.39;85.56
Mele, congelate;48;0.32;12.31;0.28;1.3;86.85;0.24
Mele, congelate, riscaldate;47;0.33;12;0.29;1.3;87.16;0.23
Mele, in barattolo, zuccherate, affettate;67;0.49;16.7;0.18;1.7;15;82.36
Mele, senza buccia;48;0.13;12.76;0.27;1.3;10.1;86.67
Melograno;83;1.17;18.7;1.67;4;13.67;77.93
Melone d'estate;34;0.19;8.16;0.84;0.9;7.86;90.15
Melone d'inverno;28;0.1;6.58;1.11;0.9;5.69;91.85
Menta essiccata;285;6.03;52.04;19.93;29.8;11.3;10.7
Menta fresca;44;0.73;8.41;3.29;6.8;85.55;2.03
Menta piperita fresca;70;0.94;14.89;3.75;8;78.65;1.76
Merluzzo;69;0.41;0;15.27;0;0;83.95
Merluzzo dell'Atlantico, cotto;105;0.86;0;22.83;0;0;75.92
Merluzzo nero;195;15.3;0;13.41;0;71.02;1.05
Merluzzo nero, affumicato;257;20.14;0;17.65;0;60.14;2.07
Merluzzo sotto sale;290;2.37;0;62.82;0;0;16.14
Merluzzo, cotto;85;0.5;0;18.73;0;0;80.31
Merluzzo, nasello;82;0.67;0;17.81;0;0;81.22
Miele;304;0;82.4;0.3;0.2;82.12;17.1
Miele, McDonald's;351;0;86.44;0.09;74.32;13.4;0.07
Miglio;378;4.22;72.85;11.02;8.5;8.67;3.25
Miglio soffiato;354;3.4;80;13;2.7;0.55;2.5
Miglio, cotto;119;1;23.67;3.51;1.3;0.13;71.41
Milkshake al cioccolato;119;2.7;21.15;3.05;0.3;20.85;72.2
Milkshake alla vaniglia;112;3.03;17.75;3.86;0;17.75;74.45
Milkshake alla vaniglia, Burger King;168;8.74;19.03;3.19;0;11.67;68.13
Milky way;456;17.23;71.17;4.01;1;59.69;6.3
Milza di maiale;100;2.59;0;17.86;0;78.43;1.53
Milza di vitello;98;2.2;0;18.3;0;78.15;1.3
Minestrone in barattolo;53;1.17;8.64;2.13;2.4;2.17;86.72
Minestrone, surgelato, cotto in acqua senza sale;65;0.15;13.09;2.86;4.4;3.12;83.23
Mirtilli;57;0.33;14.49;0.74;2.4;9.96;84.21
Mirtilli blu, congelati;51;0.64;12.17;0.42;2.7;8.45;86.59
Mirtilli blu, congelati, zuccherati;81;0.13;21.95;0.4;2.2;19.72;77.4
Mirtilli rossi;46;0.13;12.2;0.39;4.6;4.04;87.13
Mirtilli rossi selvatici (Alaska);55;0.2;12.3;1.1;6.7;86;0.4
Mirtilli rossi, secchi, zuccherati;308;1.37;82.36;0.07;5.7;65;16
Mirtilli selvatici (Alaska);61;0.76;12.31;1.22;2.6;6.46;85.48
Mirtillo americano;37;0.1;8.7;0.4;90.7;0.1;15
Misto di verdure, per l'infanzia;33;0;8;1;90.6;0.4;17
More;43;0.49;9.61;1.39;5.3;4.88;88.15
More selvatiche congelate (Alaska);44;0;10.4;0.7;88.7;0.2;15
More, congelate;64;0.43;15.67;1.18;5;10.67;82.21
Mortadella di bovino e suino;311;25.39;3.05;16.37;0;0;52.3
Mortadella di suino;396;35.8;0;17;0;46.7;0.4
Mousse al cioccolato;225;16;16.07;4.14;0.6;14.81;62.94
Mozzarella;254;15.92;2.77;24.26;0;1.13;53.78
Mozzarella da latte intero;300;22.35;2.19;22.17;0;1.03;50.01
Mozzarella light;141;0;3.5;31.7;1.8;1.48;60.2
Mozzarella per pizza;280;17.1;3.1;27.5;0;1.23;49.9
Muesli;357;5.5;73;9.1;7.3;31;8.7
Muesli con nocciole e frutta secca;340;4.9;77.8;9.7;7.3;31;5.8
Muesli fatto in casa;489;24.06;53.25;14.85;9;20;5.4
Muffin;296;11.4;41.4;6.9;2.7;37.7;2.7
Muffin inglese preparati con farina di frumento;223;2;44.8;8.7;4.6;1.56;42.3
Muffin inglesi;235;1.8;46.3;9.1;2.8;0.81;40.2
Muffin inglesi con uvette;240;1.8;48.1;7.91;2.6;14.76;40.6
Muffin inglesi con uvette, tostati;276;2.21;55.04;8.87;3;13.34;32.07
Muffin inglesi, tostati;255;1.9;50.3;9.9;3;0.88;35
Muffin, McDonald's;285;7.87;44.36;9.26;2.6;2.57;36.26
Nespole;47;0.2;12.14;0.43;1.7;86.73;0.5
Nettare di albicocca, con vitamina c;56;0.09;14.39;0.37;0.6;84.87;0.29
Nettare di albicocca, in barattolo, senza vitamina c aggiunta;56;0.09;14.39;0.37;0.6;13.79;84.87
Nettare di guanabana;59;0.17;14.93;0.11;0.1;13.07;84.72
Nettare di guava;57;0.06;14.87;0.09;1;12.37;84.89
Nettare di mango;51;0.06;13.12;0.11;0.3;12.45;86.63
Nettare di papaya;57;0.15;14.51;0.17;0.6;13.91;85.02
Nettare di pera;60;0.01;15.76;0.11;0.6;15.16;84.01
Nettare di pera con vitamina c;60;0.01;15.76;0.11;0.6;84.01;0.1
Nettare di pesca;54;0.02;13.92;0.27;0.6;13.32;85.64
Nettare di pesca, con vitamina c;54;0.02;13.92;0.27;0.6;85.64;0.15
Nettare di tamarindo;57;0.12;14.73;0.09;0.5;12.7;84.97
Nocciole;628;60.75;16.7;14.95;9.7;4.34;5.31
Nocciole secche;646;62.4;17.6;15.03;9.4;4.89;2.52
Noce moscata;525;36.31;49.29;5.84;20.8;28.49;6.23
Noci di macadamia;718;75.77;13.82;7.91;8.6;4.57;1.36
Noci fresche;654;65.21;13.71;15.23;6.7;2.61;4.07
Noci pecan;691;71.97;13.86;9.17;9.6;3.97;3.52
Noci pecan, secche;710;74.27;13.55;9.5;9.4;4.06;1.12
Noci secche;618;59;9.91;24.06;6.8;1.1;4.56
Noodles di riso, cotti;109;0.2;24.9;0.91;1;73.82;0.18
Oca;371;33.62;0;15.86;0;49.66;0.87
Olio di arachidi;884;100;0;0;0;0;0
Olio di avocado;884;100;0;0;0;0;0
Olio di cocco;862;100;0;0;0;0;0
Olio di farina d'avena;884;100;0;0;0;0;0
Olio di fegato di merluzzo;902;100;0;0;0;0;0
Olio di mais;899;99.9;0;0;0;0;0
Olio di mandorle;884;100;0;0;0;0;0
Olio di nocciola;884;100;0;0;0;0;0
Olio di noce;884;100;0;0;0;0;0
Olio di noce moscata;884;100;0;0;0;0;0
Olio di oliva;884;100;0;0;0;0;0
Olio di palma;884;100;0;0;0;0;0
Olio di salmone;902;100;0;0;0;0;0
Olio di sardine;902;100;0;0;0;0;0
Olio di semi di girasole;884;100;0;0;0;0;0
Olio di semi di lino;884;100;0;0;0;0;0
Olio di semi di papavero;884;100;0;0;0;0;0
Olio di semi vari;884;100;0;0;0;0;0
Olio di senape;884;100;0;0;0;0;0
Olio di soia;884;100;0;0;0;0;0
Olio germe di grano;884;100;0;0;0;0;0
Olive nere;235;25.1;0.8;1.6;3.9;68.6;0
Olive verdi;145;15.32;3.84;1.03;3.3;0.54;75.28
Omelette;154;11.66;0.64;10.57;0;0.31;76.13
Orecchie di mare, fritte;189;6.78;11.05;19.63;0;60.1;1.77
Origano;265;4.28;68.92;9;42.5;4.09;9.93
Orzo decorticato;354;2.3;73.48;12.48;17.3;0.8;9.44
Orzo e cereali con latte intero, per l'infanzia;84;3.26;9.94;3.73;0.6;5.1;82.19
Orzo perlato, cotto;123;0.44;28.22;2.26;3.8;0.28;68.8
Orzo perlato, crudo;352;1.16;77.72;9.91;15.6;0.8;10.09
Ossobuco di agnello, brasato;215;11.78;0;25.54;61.99;1.03;14
Ossobuco di agnello, grasso, brasato;195;12.56;0;19.17;68.46;0.98;10
Ossobuco di manzo, cotto;177;4.33;0;32.22;0;62.98;1.13
Ossobuco di manzo, crudo;113;3.48;0;19.15;76.92;1.04;20
Ostriche;51;1.71;2.72;5.71;0;0.62;89.04
Ostriche, cotte;102;3.42;5.45;11.42;0;1.23;78.19
Ostriche, in barattolo;68;2.47;3.91;7.06;0;0;85.14
Ovomaltina;372;1.33;83.59;9.41;1.9;63.38;3.1
Pancake;340;2.7;71.3;10.9;8.5;7.21;9.1
Pancake ai mirtilli;222;9.2;29;6.1;53.2;2.5;206
Pancake al burro;227;9.3;28.7;6.8;52.5;2.2;157
Pancake congelato;225;5.17;39.29;5.33;2.4;9.73;48.22
Pancake, con burro;376;4.9;71.3;10.1;2.7;8.8;4.9
Pancetta;897;99.5;0;0;0;0;0
Pancetta;310;29.52;6.32;10.68;2.6;0;48.98
Pancetta al forno;105;0.4;20.49;4.8;5.5;7.78;72.6
Pancetta di maiale;458;45.04;0.66;11.6;0;0;40.2
Pancetta di maiale, al microonde;505;37.27;1.05;38.62;0;0;16.49
Pancetta di maiale, arrosto;548;43.27;1.35;35.73;0;0;12.52
Pancetta di maiale, basso contenuto di sodio;541;41.78;1.43;37.04;0;0;12.32
Pancetta di maiale, basso contenuto di sodio;541;41.78;1.43;37.04;0;0;12.32
Pancetta di maiale, cotta;541;41.78;1.43;37.04;0;0;12.32
Pancetta di maiale, grassa;898;99.5;0;0.07;0;0;0.25
Pancetta di maiale, saltata in padella;533;40.3;1.5;38.34;0;0;12.12
Pancia di maiale;518;53.01;0;9.34;0;0;36.74
Pancreas di maiale;199;13.24;0;18.56;0;67.18;1.12
Pane all'uovo;283;6;47.8;9.5;2.3;1.78;34.7
Pane all'uovo, tostato;315;6.6;52.6;10.5;2.5;1.94;28.3
Pane bianco, dietetico;207;2.5;44.3;8.7;9.7;4.76;42.9
Pane con uva passa;274;4.4;52.3;7.9;4.3;5.68;33.6
Pane d'avena;269;4.4;48.5;8.4;4;8.14;36.7
Pane d'avena, tostato;292;4.8;52.7;9.2;4.3;8.84;31.2
Pane degli Angeli;258;0.8;57.8;5.9;1.5;33.2;2.3
Pane di crusca;236;4.4;39.8;10.4;4.5;7.7;44
Pane di crusca di riso;243;4.6;43.5;8.9;4.9;4.67;41
Pane di frumento;260;3.9;49.5;8.7;5.5;35.8;2.1
Pane di riso, tostato;264;5;47.3;9.7;5.3;5.08;35.9
Pane di segale;258;3.3;48.3;8.5;5.8;3.85;37.3
Pane di segale, tostato;284;3.6;53.1;9.4;6.4;4.23;31
Pane di tipo 0;271;3.5;50;8.8;2.7;0.83;35.7
Pane dietetico;201;3.2;41.3;8;12;3.52;46
Pane francese;289;1.83;56.44;11.75;2.4;2.56;27.81
Pane francese, congelato;213;6.1;32.1;7.4;1.1;52.6;1.8
Pane francese, fatto in casa;229;10.8;25;7.7;54.7;1.8;100
Pane grattuggiato;383;5.48;68.49;14.13;4.9;5.74;6.35
Pane irlandese con bicarbonato di sodio;290;5;56;6.6;2.6;30.1;1.9
Pangrattato;395;5.3;71.98;13.35;4.5;6.2;6.51
Panino con insalata, maionese, formaggio, pomodoro, pollo e pancetta;220;8.05;19.87;17.19;1.2;4.68;52.52
Panino di pollo e formaggio;277;17;18.24;12.9;46.01;2.1;113
Papaya;43;0.26;10.82;0.47;1.7;7.82;88.06
Paprika;282;12.89;53.99;14.14;34.9;10.34;11.24
Parmigiano;392;25.83;3.22;35.75;0;0.8;29.16
Parmigiano grattugiato;431;28.61;4.06;38.46;0;0.9;20.84
Passata di pomodoro in barattolo, con sale;38;0.21;8.98;1.65;1.9;4.83;87.88
Passata di pomodoro in barattolo, senza sale;38;0.21;8.98;1.65;1.9;4.83;87.88
Pasta al pomodoro, in barattolo;75;0.77;14.56;2.54;1.3;4.91;80.94
Pasta al ragù, in barattolo;107;5.1;11.11;4.17;2.7;2.83;78.24
Pasta all'uovo, cotta;130;1.74;23.54;5.28;68.71;0.73;10
Pasta con farina di grano, cotta;126;0.73;27.91;2.63;4.8;68.31;0.42
Pasta con farina di grano, cruda;357;2.08;79.26;7.46;11;10;1.2
Pasta corta, al pomodoro in barattolo;90;2.38;12.7;4.37;1.6;3.17;78.2
Pasta di mandorle;458;27.74;47.81;9;4.8;36.25;14.08
Pasta di semola;371;1.51;74.67;13.04;3.2;2.67;9.9
Pasta fatta in casa senza uova, cotta;124;0.98;25.12;4.37;68.86;0.66;6
Pasta phyllo;299;6;52.6;7.1;1.9;0.18;32.6
Pasta sfoglia;558;38.5;45.7;7.4;1.5;0.75;7.4
Pastella di pollo;331;21.91;10.25;21.97;44.51;1.37;26
Pasticcio di carne e verdure, surgelato;220;11.39;22.05;7.25;0.8;58.05;14.13
Pasticcio di tacchino, surgelato;176;8.8;17.7;6.5;1.1;65.7;1.3
Pasticiccini danesi al formaggio;374;21.9;37.2;8;1;6.95;31.4
Pasticiccini danesi al lampone;371;18.5;47.8;5.4;1.9;27.1;1.2
Pasticiccini danesi al limone;371;18.5;47.8;5.4;1.9;27.1;1.2
Pasticiccini danesi alla cannella;403;22.4;44.6;7;1.3;19.78;24.3
Pasticiccini danesi alla frutta;371;18.5;47.8;5.4;1.9;27.53;27.1
Pasticiccini danesi alle noci;430;25.2;45.7;7.1;2;25.87;20.4
Patata dolce americana;86;0.05;20.12;1.57;3;4.18;77.28
Patata dolce americana, cotta con la buccia;90;0.15;20.71;2.01;3.3;6.48;75.78
Patata dolce americana, lessa, senza buccia;76;0.14;17.72;1.37;2.5;5.74;80.13
Patata dolce, igname;118;0.17;27.88;1.53;4.1;0.5;69.6
Patate;77;0.09;17.47;2.02;2.2;0.78;79.34
Patate al forno, con sale;93;0.1;21.55;1.96;1.5;1.7;75.42
Patate al forno, senza sale;93;0.1;21.55;1.96;1.5;1.7;75.42
Patate arrosto, con la buccia;93;0.13;21.15;2.5;2.2;1.18;74.89
Patate dolci, per l'infanzia;57;0.1;13.2;1.1;1.5;4.05;84.8
Patate fritte, surgelate;174;5.05;29.92;2.12;2.7;0.21;61.08
Patate fritte, surgelate, cotte;166;5.13;27.5;2.51;2.3;0.29;63.07
Patate gratinate, con latte e burro;93;4.12;12.84;2.3;0.9;78.98;1.76
Patate gratinate, con margarina;132;7.59;11.27;5.06;1.8;74;2.09
Patate lessate, con sale;87;0.1;20.13;1.87;2;0.87;76.98
Patate lessate, senza sale;78;0.1;17.21;2.86;3.3;77.8;2.04
Patate novelle;69;0.1;15.71;1.68;2.4;1.15;81.58
Patate rosse;70;0.14;15.9;1.89;1.7;1.29;80.96
Patate rosse, arrosto;89;0.15;19.59;2.3;1.8;1.43;76.67
Patate russet;79;0.08;18.07;2.14;1.3;0.62;78.58
Patate, al microonde, con la buccia;105;0.1;24.24;2.44;2.3;72.04;1.18
Patate, al microonde, con la buccia e sbucciate;100;0.1;23.28;2.1;1.6;73.55;0.97
Patate, arrosto;94;0.15;21.08;2.1;2.1;1.53;75.43
Patate, bollite;78;0.1;17.2;2.86;3.3;77.8;2.04
Patate, fritte;218;8.2;34.03;3.44;3.2;52.9;1.43
Patate, lesse, cotte con la buccia e sbucciate;87;0.1;20.13;1.87;1.8;0.87;76.98
Patate, lesse, cotte senza buccia;86;0.1;20.01;1.71;1.8;0.85;77.46
Patatine chips;542;36.4;50.81;6.56;4.4;0.37;2.28
Patatine fritte;314;16.12;38.44;3.76;3.5;0.69;39.76
Patatine fritte, Burger King;331;17.4;40.08;3.5;2.9;0.69;36.66
Patatine fritte, McDonald's;316;16.12;39.02;3.81;4.2;0.2;39.76
Patatine fritte, salate;164;5.22;27.74;2.66;2.8;0.28;62.48
Patatine light;502;26.14;64.9;4.56;3.2;0.63;2.22
Pate d'oca, affumicato, in scatola;462;43.84;4.67;11.4;0;37.04;3.05
Pate di fegato affumicato;462;43.84;4.67;11.4;0;37.04;3.05
Pate di pollo, in scatola;201;13.1;6.55;13.45;0;0;65.64
Pate di tartufo;327;28.5;6.3;11.2;51.8;2.2;70
Pecorino;387;26.94;3.63;31.8;0;0.73;30.91
Pectina;325;0.3;90.4;0.3;8.6;8.7;0.3
Pectina liquida;11;0;2.1;0;2.1;0;96.9
Pepe;251;3.26;63.95;10.39;25.3;0.64;12.46
Pepe bianco;296;2.12;68.61;10.4;26.2;11.42;1.59
Pepe cayenne;318;17.27;56.63;12.01;27.2;10.34;8.05
Peperoncini piccanti;40;0.44;8.81;1.87;1.5;5.3;88.02
Peperoncini secchi;324;5.81;69.86;10.58;28.7;41.06;7.15
Peperoncino in polvere;282;14.28;49.7;13.46;34.8;7.19;10.75
Peperoni gialli;27;0.21;6.32;1;0.9;92.02;0.45
Peperoni rossi, dolci;31;0.3;6.03;0.99;2.1;4.2;92.21
